Data;Regressor;Best parameters;MSE;MAE;MAPE;PCC
aa_freq;KNN;"{'metric': 'chebyshev', 'n_neighbors': 1, 'weights': 'uniform'}";4238.627326614843;32.29036955454546;4607780.020870749;(0.4997821187119726, 2.0883252472000448e-10)
dipep_freq;KNN;"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}";3578.824433898592;27.736770323776227;4536847.621749374;(0.6494387593669553, 1.7298526375303598e-18)
avg_protvec;KNN;"{'metric': 'chebyshev', 'n_neighbors': 1, 'weights': 'uniform'}";5264.466417842581;32.42139004405594;1443086.143324303;(0.5590921447625465, 3.950182134583687e-13)
shannon_entropy;KNN;"{'metric': 'chebyshev', 'n_neighbors': 2, 'weights': 'distance'}";4392.812153752157;31.049263837648656;369878.2589218538;(0.3980910134641199, 8.489555373327414e-07)
residue_repeats;KNN;"{'metric': 'euclidean', 'n_neighbors': 22, 'weights': 'distance'}";3117.3548981375084;31.68750447216292;3897677.3716882337;(0.6028817156466189, 1.6239285505408712e-15)
net_contact_energy;KNN;"{'metric': 'euclidean', 'n_neighbors': 22, 'weights': 'uniform'}";4585.866527812319;42.172924573617294;19500738.673219103;(0.25266121409963416, 0.0023312595700619373)
aromaticity;KNN;"{'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'uniform'}";5244.598826713189;49.31642549860139;14390096.985652536;(0.3797480598681209, 2.900892006304232e-06)
helix;KNN;"{'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'uniform'}";6217.17569860358;43.86253766643356;75778257.56347711;(0.36404979189995285, 7.838629909335755e-06)
turn;KNN;"{'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'distance'}";5474.0688569541435;42.38178622451705;3105509.733178839;(0.20891767274445194, 0.012277673618051203)
sheet;KNN;"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}";7228.936462846971;47.00137053356644;645537.3352834577;(0.10255105548071661, 0.2229256724895258)
gravy;KNN;"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}";10029.690015316122;55.32794997412587;404104.6754099692;(-0.06257096768663925, 0.45784453027913447)
net_charge_at_pH7point4;KNN;"{'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'distance'}";6135.323322074271;43.2979813473588;9765463.681703027;(0.3733542574680586, 4.376098025606247e-06)
aa_freq+dipep_freq;KNN;"{'metric': 'chebyshev', 'n_neighbors': 2, 'weights': 'uniform'}";2713.2435621577356;28.995828645454548;2274189.0625397647;(0.6809835020931614, 8.147588281978893e-21)
aa_freq+avg_protvec;KNN;"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}";3872.9836909510987;29.606010813286716;89305.1952793512;(0.663627837784778, 1.6831845118673178e-19)
aa_freq+shannon_entropy;KNN;"{'metric': 'chebyshev', 'n_neighbors': 1, 'weights': 'uniform'}";5210.545677636996;32.77310382027972;320527.1368116249;(0.3634415456937683, 8.137985790077896e-06)
aa_freq+residue_repeats;KNN;"{'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}";2438.335964054898;30.306225049883444;675472.9788219107;(0.7126304799088314, 1.8372090929480062e-23)
aa_freq+net_contact_energy;KNN;"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}";6377.58517186097;37.83594081328671;5196254.926823718;(0.29348710829337443, 0.00037445352637460765)
aa_freq+aromaticity;KNN;"{'metric': 'chebyshev', 'n_neighbors': 1, 'weights': 'uniform'}";3960.4298317377534;31.508231862237764;4607615.145676283;(0.501847027723506, 1.712268299979948e-10)
aa_freq+helix;KNN;"{'metric': 'chebyshev', 'n_neighbors': 1, 'weights': 'uniform'}";4366.142756998479;32.45755137272727;1035616.9682470008;(0.47205544900321766, 2.652630325018949e-09)
aa_freq+turn;KNN;"{'metric': 'euclidean', 'n_neighbors': 15, 'weights': 'uniform'}";2743.1408182923446;31.549144533566434;1136842.017216028;(0.7007944599175439, 1.9710164630283254e-22)
aa_freq+sheet;KNN;"{'metric': 'chebyshev', 'n_neighbors': 1, 'weights': 'uniform'}";4396.315988174283;32.51598493916084;4608316.339377615;(0.5274457596292981, 1.3039420643267641e-11)
aa_freq+gravy;KNN;"{'metric': 'chebyshev', 'n_neighbors': 1, 'weights': 'uniform'}";6670.8304007393635;41.70535500909091;449398.5867801028;(0.18409733021842767, 0.027735302718040398)
aa_freq+net_charge_at_pH7point4;KNN;"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}";5957.824435670088;39.29286605804196;382580.15227786294;(0.2916759701055392, 0.00040854724487944413)
dipep_freq+avg_protvec;KNN;"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}";3812.866251237838;28.626045848251746;38427.619517675776;(0.6233574253593334, 9.212735691466518e-17)
dipep_freq+shannon_entropy;KNN;"{'metric': 'chebyshev', 'n_neighbors': 2, 'weights': 'distance'}";4026.6711706623746;30.510381091020076;2223964.311826307;(0.46344120714628456, 5.5855430870926045e-09)
dipep_freq+residue_repeats;KNN;"{'metric': 'euclidean', 'n_neighbors': 22, 'weights': 'distance'}";2840.8307461974528;31.131701104456784;4566514.06362032;(0.6645591841365877, 1.4380868890688884e-19)
dipep_freq+net_contact_energy;KNN;"{'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'}";6366.5384937740955;39.30826444965035;5187767.773973044;(0.2905482046129959, 0.0004312028025495484)
dipep_freq+aromaticity;KNN;"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}";2674.653251885566;25.92907407668998;14112756.51691216;(0.6740807799467329, 2.78460857062009e-20)
dipep_freq+helix;KNN;"{'metric': 'chebyshev', 'n_neighbors': 1, 'weights': 'uniform'}";5328.155144092591;35.311222701398606;4147000.792859951;(0.4059303757993079, 4.907424059286212e-07)
dipep_freq+turn;KNN;"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}";3921.548115628607;29.29958430979021;4536572.1350360345;(0.6174105468066757, 2.166168140294373e-16)
dipep_freq+sheet;KNN;"{'metric': 'manhattan', 'n_neighbors': 2, 'weights': 'uniform'}";2643.7557763209106;25.51168263146853;9565359.4987735;(0.7048627208999172, 8.835529889155535e-23)
dipep_freq+gravy;KNN;"{'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'uniform'}";3349.196443576249;29.68337871538462;317375.7627622875;(0.6182478500905295, 1.9226015441426537e-16)
dipep_freq+net_charge_at_pH7point4;KNN;"{'metric': 'chebyshev', 'n_neighbors': 1, 'weights': 'uniform'}";6943.880983434424;42.37642549860141;1143800.6171742454;(0.2902558353712429, 0.0004372626771685824)
avg_protvec+shannon_entropy;KNN;"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}";3885.9163540118084;29.641887106993007;1230950.4232623475;(0.6585011284036884, 3.9630376848253984e-19)
avg_protvec+residue_repeats;KNN;"{'metric': 'euclidean', 'n_neighbors': 16, 'weights': 'uniform'}";2897.6000012749987;32.33980273636364;5305236.935944205;(0.6483528683287678, 2.0570441711021308e-18)
avg_protvec+net_contact_energy;KNN;"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'distance'}";7221.220366902928;42.10519256153846;5123156.373284149;(0.330544049500923, 5.53110021548714e-05)
avg_protvec+aromaticity;KNN;"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}";3216.5736194192364;27.089570323776222;1993546.234144227;(0.6913580087565694, 1.204439332673054e-21)
avg_protvec+helix;KNN;"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}";2653.8067043702927;25.350188249184146;334897.69373927574;(0.6830401556974219, 5.612642732912537e-21)
avg_protvec+turn;KNN;"{'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'}";3780.479026352314;28.514337456643354;3864303.155263705;(0.6417916714381156, 5.7732402642966936e-18)
avg_protvec+sheet;KNN;"{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'distance'}";2610.7248537977703;27.370608973865533;1323107.2503041432;(0.6830566804443124, 5.595791287468489e-21)
